IdUsuario;ProjetosVisualizados;QuantosProjetosRecomendar;RecomendacoesSucesso;RecomendacoesSucessoPct;RecomendacoesFalha;RecomendacoesFalhaPct
16;23;6;2;0,086957;21;0,913043
16;23;12;2;0,086957;21;0,913043
16;23;18;2;0,086957;21;0,913043
14;8;6;0;0,000000;8;1,000000
14;8;12;0;0,000000;8;1,000000
14;8;18;0;0,000000;8;1,000000
15;2;6;0;0,000000;2;1,000000
15;2;12;0;0,000000;2;1,000000
15;2;18;0;0,000000;2;1,000000
17;2;6;0;0,000000;2;1,000000
17;2;12;0;0,000000;2;1,000000
17;2;18;0;0,000000;2;1,000000
18;2;6;0;0,000000;2;1,000000
18;2;12;0;0,000000;2;1,000000
18;2;18;0;0,000000;2;1,000000
19;8;6;0;0,000000;8;1,000000
19;8;12;1;0,125000;7;0,875000
19;8;18;1;0,125000;7;0,875000
39;2;6;0;0,000000;2;1,000000
39;2;12;0;0,000000;2;1,000000
39;2;18;0;0,000000;2;1,000000
21;6;6;0;0,000000;6;1,000000
21;6;12;0;0,000000;6;1,000000
21;6;18;0;0,000000;6;1,000000
25;3;6;0;0,000000;3;1,000000
25;3;12;0;0,000000;3;1,000000
25;3;18;0;0,000000;3;1,000000
26;3;6;0;0,000000;3;1,000000
26;3;12;0;0,000000;3;1,000000
26;3;18;0;0,000000;3;1,000000
40;2;6;0;0,000000;2;1,000000
40;2;12;0;0,000000;2;1,000000
40;2;18;0;0,000000;2;1,000000
32;2;6;0;0,000000;2;1,000000
32;2;12;0;0,000000;2;1,000000
32;2;18;0;0,000000;2;1,000000
33;6;6;0;0,000000;6;1,000000
33;6;12;0;0,000000;6;1,000000
33;6;18;0;0,000000;6;1,000000
43;2;6;0;0,000000;2;1,000000
43;2;12;0;0,000000;2;1,000000
43;2;18;0;0,000000;2;1,000000
44;3;6;0;0,000000;3;1,000000
44;3;12;0;0,000000;3;1,000000
44;3;18;0;0,000000;3;1,000000
45;2;6;0;0,000000;2;1,000000
45;2;12;0;0,000000;2;1,000000
45;2;18;0;0,000000;2;1,000000
46;2;6;0;0,000000;2;1,000000
46;2;12;0;0,000000;2;1,000000
46;2;18;0;0,000000;2;1,000000
48;2;6;0;0,000000;2;1,000000
48;2;12;0;0,000000;2;1,000000
48;2;18;0;0,000000;2;1,000000
53;6;6;0;0,000000;6;1,000000
53;6;12;0;0,000000;6;1,000000
53;6;18;0;0,000000;6;1,000000
94;3;6;0;0,000000;3;1,000000
94;3;12;0;0,000000;3;1,000000
94;3;18;0;0,000000;3;1,000000
61;5;6;0;0,000000;5;1,000000
61;5;12;0;0,000000;5;1,000000
61;5;18;0;0,000000;5;1,000000
66;6;6;0;0,000000;6;1,000000
66;6;12;0;0,000000;6;1,000000
66;6;18;0;0,000000;6;1,000000
67;5;6;0;0,000000;5;1,000000
67;5;12;0;0,000000;5;1,000000
67;5;18;0;0,000000;5;1,000000
70;17;6;8;0,470588;9;0,529412
70;17;12;8;0,470588;9;0,529412
70;17;18;8;0,470588;9;0,529412
71;6;6;0;0,000000;6;1,000000
71;6;12;0;0,000000;6;1,000000
71;6;18;0;0,000000;6;1,000000
72;6;6;0;0,000000;6;1,000000
72;6;12;0;0,000000;6;1,000000
72;6;18;0;0,000000;6;1,000000
73;10;6;0;0,000000;10;1,000000
73;10;12;0;0,000000;10;1,000000
73;10;18;0;0,000000;10;1,000000
77;8;6;0;0,000000;8;1,000000
77;8;12;0;0,000000;8;1,000000
77;8;18;0;0,000000;8;1,000000
65;6;6;0;0,000000;6;1,000000
65;6;12;0;0,000000;6;1,000000
65;6;18;0;0,000000;6;1,000000
78;12;6;0;0,000000;12;1,000000
78;12;12;0;0,000000;12;1,000000
78;12;18;0;0,000000;12;1,000000
83;26;6;6;0,230769;20;0,769231
83;26;12;6;0,230769;20;0,769231
83;26;18;7;0,269231;19;0,730769
85;5;6;1;0,200000;4;0,800000
85;5;12;1;0,200000;4;0,800000
85;5;18;1;0,200000;4;0,800000
86;9;6;1;0,111111;8;0,888889
86;9;12;1;0,111111;8;0,888889
86;9;18;1;0,111111;8;0,888889
87;3;6;0;0,000000;3;1,000000
87;3;12;0;0,000000;3;1,000000
87;3;18;0;0,000000;3;1,000000
88;3;6;0;0,000000;3;1,000000
88;3;12;0;0,000000;3;1,000000
88;3;18;0;0,000000;3;1,000000
89;23;6;6;0,260870;17;0,739130
89;23;12;6;0,260870;17;0,739130
89;23;18;8;0,347826;15;0,652174
96;10;6;3;0,300000;7;0,700000
96;10;12;3;0,300000;7;0,700000
96;10;18;3;0,300000;7;0,700000
100;2;6;0;0,000000;2;1,000000
100;2;12;0;0,000000;2;1,000000
100;2;18;0;0,000000;2;1,000000
09;71;6;11;0,154930;60;0,845070
09;71;12;18;0,253521;53;0,746479
09;71;18;25;0,352113;46;0,647887
