IdUsuario;ProjetosVisualizados;QuantosProjetosRecomendar;RecomendacoesSucesso
16;23;6;110
16;23;12;206
16;23;18;281
14;8;6;21
14;8;12;27
14;8;18;30
15;2;6;1
15;2;12;1
15;2;18;1
17;2;6;0
17;2;12;0
17;2;18;0
18;2;6;0
18;2;12;0
18;2;18;0
19;8;6;26
19;8;12;40
19;8;18;47
39;2;6;0
39;2;12;0
39;2;18;1
21;6;6;5
21;6;12;9
21;6;18;10
25;3;6;3
25;3;12;4
25;3;18;4
26;3;6;1
26;3;12;1
26;3;18;2
40;2;6;0
40;2;12;2
40;2;18;2
32;2;6;1
32;2;12;1
32;2;18;1
33;6;6;8
33;6;12;13
33;6;18;14
43;2;6;0
43;2;12;0
43;2;18;0
44;3;6;1
44;3;12;2
44;3;18;2
45;2;6;0
45;2;12;0
45;2;18;0
46;2;6;0
46;2;12;0
46;2;18;0
48;2;6;0
48;2;12;2
48;2;18;2
53;6;6;6
53;6;12;10
53;6;18;10
94;3;6;0
94;3;12;2
94;3;18;3
61;5;6;6
61;5;12;6
61;5;18;10
66;6;6;12
66;6;12;14
66;6;18;16
67;5;6;5
67;5;12;9
67;5;18;9
70;17;6;80
70;17;12;141
70;17;18;184
71;6;6;21
71;6;12;26
71;6;18;28
72;6;6;12
72;6;12;13
72;6;18;15
73;10;6;17
73;10;12;33
73;10;18;44
77;8;6;30
77;8;12;44
77;8;18;47
65;6;6;9
65;6;12;13
65;6;18;17
78;12;6;34
78;12;12;61
78;12;18;72
83;26;6;140
83;26;12;270
83;26;18;373
85;5;6;3
85;5;12;7
85;5;18;9
86;9;6;10
86;9;12;25
86;9;18;36
87;3;6;1
87;3;12;3
87;3;18;4
88;3;6;2
88;3;12;2
88;3;18;2
89;23;6;113
89;23;12;212
89;23;18;303
96;10;6;27
96;10;12;41
96;10;18;48
100;2;6;2
100;2;12;2
100;2;18;2
09;71;6;420
09;71;12;829
09;71;18;1198
