IdUsuario;ProjetoRecomendado01;ProjetoRecomendado02;ProjetoRecomendado03;ProjetoRecomendado04;ProjetoRecomendado05;ProjetoRecomendado06
9;3489;3517;9;7915;;
11;10026;4139;26825;1;557;3180
14;3489;3517;151;9;43;
15;4139;278;26825;3517;3562;7915
16;26825;10026;4139;3180;43;3138
19;3855;43;9;278;151;3546
21;151;3517;9;3855;43;
25;557;151;43;3855;9;6303
33;3517;9;3546;3855;3499;3975
36;10026;4139;55;3745;3180;41
40;10026;4139;1;3138;3180;41
48;4014;4139;278;3546;8267;41
65;4139;26825;4014;41;20;55
66;10026;26825;4139;29;3180;557
67;10026;26825;3180;20;557;1
70;557;9;3562;278;3499;3855
71;151;3546;3855;278;;
72;3180;4139;278;26825;7915;3499
73;10026;4139;3745;26825;557;29
74;10026;4139;3180;26825;55;1
77;10026;4139;3745;26825;3499;3180
78;3180;55;20;557;3745;1
83;151;3855;41;43;;
84;10026;26825;3180;557;4139;3138
85;10026;4139;3180;7915;557;4032
86;10026;26825;557;3180;4139;1
87;10026;4139;3180;26825;3138;41
88;4014;8267;4139;7915;3489;41
89;43;278;3562;3499;6303;1
94;4139;557;41;1;55;8267
96;10026;26825;4139;1;6303;557
