IdUsuario;ProjetosVisualizados;ProjetosAvaliados;QuantosProjetosRecomendar;ProjetosRecomendados;ProjetosRecomendadosVistosNaoAvaliados
09;71;31;6;4;4
09;71;31;12;4;4
09;71;31;18;4;4
11;1;3;6;6;0
11;1;3;12;12;1
11;1;3;18;18;1
14;8;4;6;5;1
14;8;4;12;5;1
14;8;4;18;5;1
15;2;3;6;6;0
15;2;3;12;12;0
15;2;3;18;12;0
16;23;17;6;6;0
16;23;17;12;11;1
16;23;17;18;11;1
19;8;3;6;6;0
19;8;3;12;7;0
19;8;3;18;7;0
21;6;2;6;5;3
21;6;2;12;5;3
21;6;2;18;5;3
25;3;3;6;6;0
25;3;3;12;10;0
25;3;3;18;10;0
33;6;2;6;6;1
33;6;2;12;8;2
33;6;2;18;8;2
36;1;3;6;6;0
36;1;3;12;12;0
36;1;3;18;18;0
40;2;2;6;6;0
40;2;2;12;12;0
40;2;2;18;18;1
48;2;2;6;6;0
48;2;2;12;12;0
48;2;2;18;15;0
65;6;3;6;6;0
65;6;3;12;12;0
65;6;3;18;18;1
66;6;6;6;6;0
66;6;6;12;12;0
66;6;6;18;16;0
67;5;6;6;6;0
67;5;6;12;12;0
67;5;6;18;18;0
70;17;13;6;6;0
70;17;13;12;8;0
70;17;13;18;8;0
71;6;4;6;4;0
71;6;4;12;4;0
71;6;4;18;4;0
72;6;4;6;6;0
72;6;4;12;12;1
72;6;4;18;13;1
73;10;10;6;6;0
73;10;10;12;12;0
73;10;10;18;16;0
74;0;3;6;6;0
74;0;3;12;12;0
74;0;3;18;18;0
77;8;8;6;6;0
77;8;8;12;12;0
77;8;8;18;17;0
78;12;10;6;6;0
78;12;10;12;12;0
78;12;10;18;18;1
83;26;23;6;4;0
83;26;23;12;4;0
83;26;23;18;4;0
84;1;4;6;6;0
84;1;4;12;12;0
84;1;4;18;18;0
85;5;5;6;6;0
85;5;5;12;12;0
85;5;5;18;18;0
86;9;7;6;6;0
86;9;7;12;12;0
86;9;7;18;18;1
87;3;3;6;6;0
87;3;3;12;12;0
87;3;3;18;18;0
88;3;3;6;6;0
88;3;3;12;12;0
88;3;3;18;15;0
89;23;19;6;6;1
89;23;19;12;10;1
89;23;19;18;10;1
94;3;2;6;6;0
94;3;2;12;12;0
94;3;2;18;18;1
96;10;3;6;6;0
96;10;3;12;12;1
96;10;3;18;18;4
