"IdUsuario";"ProjetosVisualizados";"ProjetoArgumento";"ProjetoRecomendado";"PosicaoNaLista";"InterseccaoTags"
9;71;"Vim";"";NA;0
9;71;"Mozilla Firefox";"";NA;0
9;71;"gedit";"";NA;0
9;71;"Okular (KDE)";"";NA;0
9;71;"Bash";"";NA;0
9;71;"bootstrap";"";NA;0
9;71;"Oracle VM VirtualBox";"";NA;0
9;71;"Ubuntu";"";NA;0
9;71;"TortoiseSVN";"";NA;0
9;71;"Apache OpenOffice";"";NA;0
9;71;"PuTTY";"";NA;0
9;71;"GNU Make";"";NA;0
9;71;"GNU tar";"";NA;0
9;71;"GNU grep";"";NA;0
9;71;"Joomla!";"";NA;0
9;71;"Ruby";"";NA;0
9;71;"VRaptor2";"";NA;0
9;71;"Eclipse Java Development Tools (JDT)";"";NA;0
9;71;"KDevelop";"";NA;0
9;71;"Git";"";NA;0
9;71;"NetBeans IDE";"";NA;0
9;71;"Eclipse PDT";"";NA;0
9;71;"Apache HTTP Server";"";NA;0
9;71;"PHP";"";NA;0
9;71;"Apache Tomcat";"";NA;0
9;71;"PyNcurses";"";NA;0
9;71;"PDFCreator";"";NA;0
9;71;"LaTeX";"";NA;0
9;71;"MapFaces";"";NA;0
9;71;"PrimeFaces";"";NA;0
9;71;"Facelets";"";NA;0
9;71;"R";"";NA;0
9;71;"Amarok";"";NA;0
9;71;"Geany";"";NA;0
9;71;"Hibernate";"";NA;0
9;71;"Redmine";"";NA;0
9;71;"Spring Framework";"";NA;0
9;71;"Apache Lucene";"";NA;0
9;71;"XMMS";"";NA;0
9;71;"FLAC - Free Lossless Audio Codec";"";NA;0
9;71;"MediaWiki";"";NA;0
9;71;"phpMyAdmin";"";NA;0
9;71;"ArcEmu";"";NA;0
9;71;"Dia";"";NA;0
9;71;"MusicBrainz Picard";"";NA;0
9;71;"Banshee";"";NA;0
9;71;"SQuirreL SQL Client";"";NA;0
9;71;"jQuery";"";NA;0
9;71;"aMSN";"";NA;0
9;71;"Robocode";"";NA;0
9;71;"Conky";"";NA;0
9;71;"Spark";"";NA;0
9;71;"Selenium";"";NA;0
9;71;"Apache Maven 2";"";NA;0
9;71;"Texmaker";"";NA;0
9;71;"JabRef";"";NA;0
9;71;"easyMP3Gain";"";NA;0
9;71;"JDownloader";"";NA;0
9;71;"GIMP";"";NA;0
9;71;"Eclipse Platform Project";"";NA;0
14;8;"R";"";NA;0
14;8;"Dia";"";NA;0
14;8;"Games for Eclipse";"";NA;0
14;8;"Notepad++";"";NA;0
14;8;"Eclipse Platform Project";"";NA;0
14;8;"Eclipse PDT";"";NA;0
14;8;"Eclipse Java Development Tools (JDT)";"";NA;0
14;8;"SQuirreL SQL Client";"";NA;0
15;2;"Empathy";"";NA;0
15;2;"Mozilla Firefox";"";NA;0
16;23;"Git";"";NA;0
16;23;"Apache Subversion";"";NA;0
16;23;"Struts 2";"";NA;0
16;23;"Hibernate";"";NA;0
16;23;"Apache Tomcat";"";NA;0
16;23;"Selenium";"";NA;0
16;23;"Ubuntu";"";NA;0
16;23;"Apache OpenOffice";"";NA;0
16;23;"JabRef";"";NA;0
16;23;"JFreeChart";"";NA;0
16;23;"NetBeans IDE";"";NA;0
16;23;"Eclipse Platform Project";"";NA;0
16;23;"Prefuse";"";NA;0
16;23;"Java Universal Network/Graph Framework";"";NA;0
16;23;"Apache Maven 2";"";NA;0
16;23;"Apache Ant";"";NA;0
16;23;"JUnit";"";NA;0
16;23;"R";"";NA;0
16;23;"Joomla!";"";NA;0
16;23;"HTML Validator for Mozilla and Firefox";"";NA;0
16;23;"firefox-search-engine";"";NA;0
17;2;"JDownloader";"";NA;0
17;2;"Mozilla Firefox";"";NA;0
18;2;"GIMP";"";NA;0
18;2;"R";"";NA;0
19;8;"NetBeans IDE";"";NA;0
19;8;"PHP";"";NA;0
19;8;"WordPress";"";NA;0
19;8;"Apache Tomcat";"";NA;0
19;8;"phpMyAdmin";"";NA;0
19;8;"Apache Subversion";"";NA;0
19;8;"MySQL";"";NA;0
19;8;"Apache HTTP Server";"";NA;0
21;6;"Joomla!";"";NA;0
21;6;"Geany";"";NA;0
21;6;"Notepad++";"";NA;0
21;6;"R";"";NA;0
21;6;"Mozilla Firefox";"";NA;0
21;6;"GIMP";"";NA;0
25;3;"Git";"";NA;0
25;3;"GNU Octave";"";NA;0
25;3;"Apache Maven 2";"";NA;0
26;3;"Apache Maven 2";"";NA;0
26;3;"PHP";"";NA;0
26;3;"Mozilla Firefox";"";NA;0
32;2;"Mozilla Firefox";"";NA;0
32;2;"Inkscape";"";NA;0
33;6;"VRaptor2";"";NA;0
33;6;"Amarok";"";NA;0
33;6;"Notepad++";"";NA;0
33;6;"Bash";"";NA;0
33;6;"GIMP";"";NA;0
33;6;"Mozilla Firefox";"";NA;0
39;2;"Eclipse Platform Project";"";NA;0
39;2;"Notepad++";"";NA;0
40;2;"Notepad++";"";NA;0
