"IdUsuario";"ProjetosVisualizados";"ProjetoArgumento";"ProjetoRecomendado";"PosicaoNaLista";"InterseccaoTags"
9;71;"VLC media player";"FFmpeg";1;30
9;71;"FFmpeg";"VLC media player";1;30
9;71;"Media Player Classic - Home Cinema";"FFmpeg";1;24
9;71;"PostgreSQL Database Server";"MySQL";1;13
9;71;"VLC media player";"Media Player Classic - Home Cinema";2;27
9;71;"Media Player Classic - Home Cinema";"VLC media player";2;27
9;71;"FFmpeg";"Media Player Classic - Home Cinema";2;24
9;71;"MySQL";"PostgreSQL Database Server";2;13
9;71;"MiKTeX";"LaTeX";2;4
9;71;"pgAdmin III";"phpMyAdmin";3;5
9;71;"Trac";"Redmine";4;8
9;71;"Notepad++";"Vim";5;8
9;71;"MP3Gain";"Banshee";5;7
9;71;"Apache Subversion";"TortoiseSVN";6;4
16;23;"Mozilla Firefox";"Chromium (Google Chrome)";1;14
16;23;"Chromium (Google Chrome)";"Mozilla Firefox";1;14
70;17;"TeXworks";"MiKTeX";1;3
70;17;"Vim";"GNU Emacs";2;10
70;17;"Umbrello UML Modeller";"ArgoUML";2;6
70;17;"MiKTeX";"LaTeX";2;4
70;17;"GNU Emacs";"Vim";3;10
70;17;"GNU LilyPond Music Typesetter";"LaTeX";3;7
70;17;"TeXworks";"LaTeX";3;3
70;17;"MiKTeX";"TeXworks";4;3
70;17;"Notepad++";"Vim";5;8
70;17;"LaTeX";"GNU LilyPond Music Typesetter";5;7
70;17;"Notepad++";"GNU Emacs";6;8
83;26;"PuTTY";"OpenSSH";1;8
83;26;"OpenSSH";"PuTTY";1;8
83;26;"GNU Core Utilities";"Bash";4;4
83;26;"Fedora Packages";"Ubuntu";5;22
83;26;"CentOS";"Ubuntu";5;6
83;26;"Ubuntu";"Fedora Packages";6;22
83;26;"CentOS";"Fedora Packages";6;6
85;5;"Notepad++";"Vim";5;8
86;9;"Notepad++";"Vim";5;8
89;23;"Kile";"TeX Live";1;10
89;23;"TeX Live";"Kile";1;10
89;23;"LaTeX";"TeX Live";1;8
89;23;"TeX Live";"LaTeX";2;8
89;23;"MiKTeX";"LaTeX";2;4
89;23;"Texmaker";"Kile";2;3
89;23;"LaTeX";"Kile";4;7
89;23;"MiKTeX";"TeX Live";5;4
89;23;"Apache Subversion";"TortoiseSVN";6;4
96;10;"Team Elements";"Liferay Portal";2;16
96;10;"Liferay Portal";"Team Elements";5;16
96;10;"Jahia";"Liferay Portal";6;18
96;10;"Team Elements";"Jahia";6;15
