@relation multicriteria-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last_predicted

@attribute user {9,10,11,14,15,16,19,21,24,25,33,35,36,40,41,43,48,50,52,59,61,63,64,65,66,67,69,70,71,72,73,74,75,76,77,79,81,82,83,84,85,86,87,88,89,93}
@attribute project {1,9,15,20,27,28,29,32,34,41,43,55,72,88,114,116,118,144,151,165,172,229,278,308,313,386,557,579,588,627,700,3138,3141,3180,3192,3235,3265,3344,3489,3499,3517,3546,3547,3562,3564,3607,3644,3670,3675,3745,3762,3855,3926,3969,3975,4014,4018,4032,4139,4141,4233,4456,4696,5120,5545,5793,6303,7290,7448,7915,7918,8267,8451,8819,10026,10253,12740,13307,13314,13899,14549,15963,15984,16466,16813,24234,25367,26825,34435,89885}
@attribute criterium1 {0,1,2,3,4,5}
@attribute criterium2 {0,1,2,3,4,5}
@attribute criterium3 {0,3,4,5}
@attribute criterium4 {0,1,2,3,4,5}
@attribute criterium5 {0,1,2,3,4,5}
@attribute criterium6 {0,1,2,3,4,5}
@attribute criterium7 {0,1,2,3,4,5}
@attribute criterium8 {0,1,2,3,4,5}
@attribute criterium9 {0,1,2,3,4,5}
@attribute criterium10 {0,1,2,3,4,5}
@attribute predictedoverall {0,1,2,3,4,5}
@attribute overall {0,1,2,3,4,5}

@data
86,3855,4,0,4,5,0,0,4,0,4,0,3,4
77,9,3,4,5,5,4,5,5,3,4,5,4,4
11,9,4,4,5,5,5,1,5,2,1,5,4,4
83,3670,4,4,5,5,4,0,5,0,4,3,4,4
65,43,4,5,5,5,4,4,4,3,3,3,4,4
9,4139,5,3,5,5,5,0,5,0,5,5,4,4
74,9,0,4,4,5,0,0,5,0,5,5,4,4
52,3546,3,4,4,4,4,4,4,3,4,4,4,4
70,3235,5,5,5,5,3,5,4,0,3,0,5,4
74,3855,0,3,4,4,0,0,5,4,4,5,4,4
83,118,4,4,5,4,4,0,5,0,4,3,4,4
67,3489,5,5,4,5,0,0,3,0,0,3,3,4
83,278,5,5,5,5,5,0,5,0,5,5,5,5
73,43,4,4,5,5,4,0,5,0,4,5,4,5
83,8819,5,5,5,5,5,0,5,0,5,5,5,5
85,278,5,5,5,5,5,5,5,5,5,4,5,5
85,9,5,4,4,5,5,5,5,4,5,5,5,5
70,3517,4,5,5,4,4,5,5,3,4,0,5,5
77,1,5,4,5,4,5,5,5,5,4,5,5,5
77,3855,4,5,5,5,5,5,5,5,5,5,5,5
16,1,4,3,3,4,3,4,4,3,5,4,4,3
70,3644,3,0,4,4,3,0,4,0,3,0,3,3
9,172,4,3,3,2,0,0,3,0,4,3,3,2
9,26825,4,5,5,4,3,0,4,0,4,4,4,4
19,3192,4,4,5,5,3,5,5,4,4,5,4,4
61,32,0,3,4,3,0,3,5,0,3,4,3,4
64,3926,4,4,4,3,4,5,5,2,5,5,4,4
87,3517,5,0,4,5,3,0,4,0,5,3,4,4
73,3499,3,4,5,4,5,0,5,0,3,4,4,4
9,3562,5,4,5,5,3,0,5,0,5,5,4,4
73,3517,4,3,4,4,5,0,5,0,3,5,4,4
67,3517,5,2,5,4,0,0,5,0,0,4,3,4
88,3546,3,5,5,4,4,5,5,4,3,5,5,4
25,3499,3,4,5,0,0,5,5,0,3,4,4,4
9,34435,5,4,4,3,5,0,5,0,5,4,4,4
75,3517,5,5,5,5,4,5,5,4,5,5,5,5
48,151,5,5,5,4,0,0,5,0,4,5,5,5
77,3562,4,5,5,4,5,5,5,5,4,5,5,5
83,4141,5,5,5,5,5,0,5,0,5,5,5,5
70,151,0,0,0,0,0,0,0,0,0,0,1,5
89,4696,4,5,4,4,4,4,4,4,4,4,4,5
89,151,5,5,5,5,5,5,4,4,5,5,5,5
24,3926,4,5,5,5,5,5,5,4,4,5,5,5
86,3517,4,2,4,4,0,0,4,0,4,0,3,3
72,89885,4,4,5,4,3,0,3,0,4,2,3,3
9,4456,1,2,3,2,1,0,2,0,1,2,2,2
70,579,3,4,5,5,4,5,5,0,3,0,4,4
16,3562,3,3,4,3,4,4,5,0,3,5,4,4
83,4139,5,5,5,4,5,0,5,0,5,5,5,4
59,12740,4,4,5,4,5,0,4,0,4,3,4,4
9,588,5,4,5,5,3,0,4,0,4,4,4,4
77,55,4,3,4,4,5,5,5,5,4,4,4,4
75,4139,5,4,5,5,4,5,5,4,4,5,4,4
16,9,5,3,5,5,4,5,5,0,5,5,5,4
86,7915,5,0,5,5,0,0,3,0,5,0,5,4
16,3517,5,5,4,5,4,4,5,3,5,4,5,4
16,557,5,5,5,5,4,5,4,2,5,4,5,4
89,28,4,4,5,5,5,4,5,5,4,5,5,5
83,3489,5,5,5,5,0,0,5,0,5,4,5,5
83,700,5,5,5,5,5,0,5,0,5,5,5,5
40,151,5,5,5,5,4,5,5,3,5,5,5,5
16,278,3,5,5,4,3,4,5,3,3,5,4,5
83,5120,5,5,5,5,5,0,5,0,5,5,5,5
84,3855,4,4,5,3,4,5,5,5,4,5,5,5
75,10026,5,5,5,5,4,5,5,5,4,5,5,5
10,3762,5,5,5,5,5,5,5,5,5,5,5,5
86,9,5,4,5,5,0,0,3,0,5,0,5,3
70,308,3,3,4,3,3,0,3,0,3,0,3,3
70,229,2,0,0,3,0,0,2,0,0,0,1,2
9,3546,5,4,5,4,5,0,5,0,4,5,4,4
48,43,3,4,4,4,4,0,4,3,2,4,4,4
9,4032,5,4,4,5,3,0,4,2,4,5,4,4
16,16466,5,3,5,5,0,5,5,0,5,5,5,4
83,3546,3,5,4,5,5,0,4,0,4,3,4,4
73,3192,4,3,4,4,4,0,5,0,3,5,4,4
66,151,5,4,5,5,0,0,5,0,5,3,5,4
36,151,5,5,4,5,5,5,5,5,5,5,5,4
89,3138,4,5,5,4,4,4,4,4,4,4,4,4
70,4233,5,3,5,3,3,5,5,0,3,0,4,4
74,151,0,4,5,5,0,0,4,0,4,4,4,4
86,24234,3,0,4,5,0,0,5,0,4,0,3,5
85,3546,3,5,5,5,5,5,5,5,2,1,5,5
16,16813,4,3,4,5,5,4,5,2,4,3,4,5
9,8267,4,5,5,5,5,0,5,0,5,5,5,5
11,3855,0,3,5,5,4,2,5,3,0,5,4,5
65,3855,5,5,5,4,3,5,5,4,4,5,4,5
70,116,5,5,5,5,3,5,5,0,5,0,5,5
86,278,4,0,5,4,0,0,5,0,3,0,3,5
15,3546,3,5,5,4,5,1,5,5,3,5,4,5
9,13314,3,4,4,4,4,0,3,0,3,3,4,3
82,3855,3,1,3,4,4,4,4,3,4,5,4,3
9,4014,4,5,5,4,5,0,5,0,4,5,5,4
77,20,3,3,5,4,3,5,5,3,4,5,4,4
76,8451,5,4,5,4,5,3,5,4,3,4,4,4
70,3547,0,0,0,0,0,0,0,0,0,0,1,4
21,3489,4,4,4,5,4,4,5,4,5,4,4,4
79,3855,4,4,5,5,4,5,5,4,4,4,4,4
83,4032,5,4,5,5,5,0,5,0,5,4,5,4
