@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
86,3855,4,0,4,5,0,0,4,0,4,0,4.00256,4
9,26825,4,5,5,4,3,0,4,0,4,4,4.121651,4
70,579,3,4,5,5,4,5,5,0,3,0,4.495934,4
40,151,5,5,5,5,4,5,5,3,5,5,4.76189,5
9,3546,5,4,5,4,5,0,5,0,4,5,4.172969,4
86,3546,1,0,4,3,0,0,4,0,1,0,3.989437,3
9,4014,4,5,5,4,5,0,5,0,4,5,4.24961,4
35,3546,3,3,5,1,2,0,1,0,3,4,3.375479,4
67,151,4,5,5,5,0,0,1,0,0,5,4.062711,3
63,3192,5,4,5,5,5,0,5,0,4,5,4.577425,4
9,8267,4,5,5,5,5,0,5,0,5,5,4.266612,5
67,3855,4,3,5,2,0,0,3,0,0,5,3.874352,3
9,3855,4,3,4,4,4,0,5,0,5,5,3.766085,4
88,43,4,5,5,4,4,4,5,4,5,4,4.582212,5
83,278,5,5,5,5,5,0,5,0,5,5,4.817156,5
85,3546,3,5,5,5,5,5,5,5,2,1,4.345904,5
72,3975,3,5,5,4,4,0,4,0,0,5,4.331361,4
73,32,4,4,4,4,5,0,5,0,3,5,4.243757,4
77,9,3,4,5,5,4,5,5,3,4,5,4.180363,4
19,3192,4,4,5,5,3,5,5,4,4,5,4.580325,4
85,9,5,4,4,5,5,5,5,4,5,5,4.525932,5
89,4696,4,5,4,4,4,4,4,4,4,4,4.197628,5
70,229,2,0,0,3,0,0,2,0,0,0,3.798648,2
89,151,5,5,5,5,5,5,4,4,5,5,4.745554,5
66,165,2,5,5,3,0,0,5,0,3,3,3.987785,5
16,3562,3,3,4,3,4,4,5,0,3,5,3.85339,4
70,7915,5,5,5,5,3,5,5,0,5,0,4.555407,5
48,43,3,4,4,4,4,0,4,3,2,4,3.534841,4
16,3607,3,3,3,5,4,3,4,0,2,4,3.392937,3
77,20,3,3,5,4,3,5,5,3,4,5,3.96317,4
25,144,3,0,4,5,4,5,5,2,4,3,3.563289,4
77,6303,4,5,4,5,5,5,5,4,4,5,4.507675,4
14,3926,4,5,4,5,5,0,5,4,4,5,4.204125,0
16,16813,4,3,4,5,5,4,5,2,4,3,3.843744,5
72,9,5,5,5,5,4,0,5,2,4,5,4.811711,5
83,8819,5,5,5,5,5,0,5,0,5,5,4.758187,5
77,3562,4,5,5,4,5,5,5,5,4,5,4.75476,5
36,3499,1,5,5,1,2,5,5,3,5,5,4.294345,4
9,557,5,5,5,4,3,0,4,0,4,4,4.261837,4
11,3855,0,3,5,5,4,2,5,3,0,5,3.533012,5
65,3489,4,5,5,5,3,4,5,3,5,5,4.652951,4
83,9,5,5,5,5,5,0,5,0,5,5,4.785772,5
11,9,4,4,5,5,5,1,5,2,1,5,4.12516,4
61,32,0,3,4,3,0,3,5,0,3,4,3.606111,4
41,3969,5,5,5,5,4,5,5,3,5,3,4.670168,5
50,25367,5,5,5,5,5,5,5,5,5,5,4.911933,5
83,4139,5,5,5,4,5,0,5,0,5,5,4.742376,4
16,1,4,3,3,4,3,4,4,3,5,4,3.720353,3
9,4032,5,4,4,5,3,0,4,2,4,5,3.649768,4
76,8451,5,4,5,4,5,3,5,4,3,4,4.485846,4
93,3855,3,4,5,5,3,0,5,3,4,5,4.372632,4
83,15963,5,5,5,4,5,0,5,0,4,4,4.508182,5
70,3644,3,0,4,4,3,0,4,0,3,0,3.54937,3
15,7918,3,4,3,2,2,1,4,4,2,2,3.539518,3
89,3517,4,4,4,5,5,4,4,4,4,5,4.134545,5
89,3180,5,5,5,5,5,5,5,5,5,5,4.900008,5
89,28,4,4,5,5,5,4,5,5,4,5,4.487306,5
86,24234,3,0,4,5,0,0,5,0,4,0,3.918678,5
73,3180,4,4,4,5,4,0,4,0,4,5,4.186659,4
86,3517,4,2,4,4,0,0,4,0,4,0,3.632598,3
9,3675,4,4,4,4,0,0,5,0,5,4,4.209332,4
81,3855,4,0,5,5,4,4,5,5,4,4,4.058127,4
89,10253,4,4,5,5,4,4,4,4,4,4,4.273163,4
