@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
86,3855,4,0,4,5,0,0,4,0,4,0,3.715371,4
9,26825,4,5,5,4,3,0,4,0,4,4,3.894617,4
70,579,3,4,5,5,4,5,5,0,3,0,4.594851,4
40,151,5,5,5,5,4,5,5,3,5,5,4.593731,5
9,3546,5,4,5,4,5,0,5,0,4,5,4.110804,4
86,3546,1,0,4,3,0,0,4,0,1,0,3.357598,3
9,4014,4,5,5,4,5,0,5,0,4,5,4.120034,4
35,3546,3,3,5,1,2,0,1,0,3,4,2.998535,4
67,151,4,5,5,5,0,0,1,0,0,5,3.567266,3
63,3192,5,4,5,5,5,0,5,0,4,5,4.435641,4
9,8267,4,5,5,5,5,0,5,0,5,5,4.120034,5
67,3855,4,3,5,2,0,0,3,0,0,5,3.761124,3
9,3855,4,3,4,4,4,0,5,0,5,5,3.863058,4
88,43,4,5,5,4,4,4,5,4,5,4,4.629542,5
83,278,5,5,5,5,5,0,5,0,5,5,4.684439,5
85,3546,3,5,5,5,5,5,5,5,2,1,4.500808,5
72,3975,3,5,5,4,4,0,4,0,0,5,4.154336,4
73,32,4,4,4,4,5,0,5,0,3,5,4.376538,4
77,9,3,4,5,5,4,5,5,3,4,5,4.449302,4
19,3192,4,4,5,5,3,5,5,4,4,5,4.157107,4
85,9,5,4,4,5,5,5,5,4,5,5,4.673388,5
89,4696,4,5,4,4,4,4,4,4,4,4,4.41014,5
70,229,2,0,0,3,0,0,2,0,0,0,2.929774,2
89,151,5,5,5,5,5,5,4,4,5,5,4.671886,5
66,165,2,5,5,3,0,0,5,0,3,3,4.15891,5
16,3562,3,3,4,3,4,4,5,0,3,5,3.737298,4
70,7915,5,5,5,5,3,5,5,0,5,0,4.746648,5
48,43,3,4,4,4,4,0,4,3,2,4,3.80735,4
16,3607,3,3,3,5,4,3,4,0,2,4,3.491468,3
77,20,3,3,5,4,3,5,5,3,4,5,4.121048,4
25,144,3,0,4,5,4,5,5,2,4,3,3.396211,4
77,6303,4,5,4,5,5,5,5,4,4,5,4.567982,4
14,3926,4,5,4,5,5,0,5,4,4,5,4.248959,0
16,16813,4,3,4,5,5,4,5,2,4,3,3.95141,5
72,9,5,5,5,5,4,0,5,2,4,5,4.68192,5
83,8819,5,5,5,5,5,0,5,0,5,5,4.812478,5
77,3562,4,5,5,4,5,5,5,5,4,5,4.567982,5
36,3499,1,5,5,1,2,5,5,3,5,5,4.017447,4
9,557,5,5,5,4,3,0,4,0,4,4,4.191923,4
11,3855,0,3,5,5,4,2,5,3,0,5,3.069642,5
65,3489,4,5,5,5,3,4,5,3,5,5,4.582071,4
83,9,5,5,5,5,5,0,5,0,5,5,4.812478,5
11,9,4,4,5,5,5,1,5,2,1,5,3.855365,4
61,32,0,3,4,3,0,3,5,0,3,4,3.547399,4
41,3969,5,5,5,5,4,5,5,3,5,3,4.599796,5
50,25367,5,5,5,5,5,5,5,5,5,5,4.64537,5
83,4139,5,5,5,4,5,0,5,0,5,5,4.644755,4
16,1,4,3,3,4,3,4,4,3,5,4,3.841427,3
9,4032,5,4,4,5,3,0,4,2,4,5,3.935717,4
76,8451,5,4,5,4,5,3,5,4,3,4,4.578382,4
93,3855,3,4,5,5,3,0,5,3,4,5,4.292238,4
83,15963,5,5,5,4,5,0,5,0,4,4,4.644755,5
