@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
86,3855,4,0,4,5,0,0,4,0,4,0,3.713956,4
9,26825,4,5,5,4,3,0,4,0,4,4,3.984679,4
70,579,3,4,5,5,4,5,5,0,3,0,4.256714,4
40,151,5,5,5,5,4,5,5,3,5,5,4.579937,5
9,3546,5,4,5,4,5,0,5,0,4,5,4.204943,4
86,3546,1,0,4,3,0,0,4,0,1,0,3.366345,3
9,4014,4,5,5,4,5,0,5,0,4,5,4.163188,4
35,3546,3,3,5,1,2,0,1,0,3,4,3.427563,4
67,151,4,5,5,5,0,0,1,0,0,5,3.883935,3
63,3192,5,4,5,5,5,0,5,0,4,5,4.46283,4
9,8267,4,5,5,5,5,0,5,0,5,5,4.163188,5
67,3855,4,3,5,2,0,0,3,0,0,5,4.013825,3
9,3855,4,3,4,4,4,0,5,0,5,5,3.904877,4
88,43,4,5,5,4,4,4,5,4,5,4,4.603763,5
83,278,5,5,5,5,5,0,5,0,5,5,4.632459,5
85,3546,3,5,5,5,5,5,5,5,2,1,4.380907,5
72,3975,3,5,5,4,4,0,4,0,0,5,4.209125,4
73,32,4,4,4,4,5,0,5,0,3,5,4.284636,4
77,9,3,4,5,5,4,5,5,3,4,5,4.450781,4
19,3192,4,4,5,5,3,5,5,4,4,5,4.277461,4
85,9,5,4,4,5,5,5,5,4,5,5,4.598446,5
89,4696,4,5,4,4,4,4,4,4,4,4,4.359398,5
70,229,2,0,0,3,0,0,2,0,0,0,2.687363,2
89,151,5,5,5,5,5,5,4,4,5,5,4.630492,5
66,165,2,5,5,3,0,0,5,0,3,3,4.166018,5
16,3562,3,3,4,3,4,4,5,0,3,5,3.764841,4
70,7915,5,5,5,5,3,5,5,0,5,0,4.714507,5
48,43,3,4,4,4,4,0,4,3,2,4,3.851998,4
16,3607,3,3,3,5,4,3,4,0,2,4,3.54167,3
77,20,3,3,5,4,3,5,5,3,4,5,4.118563,4
25,144,3,0,4,5,4,5,5,2,4,3,3.412362,4
77,6303,4,5,4,5,5,5,5,4,4,5,4.56022,4
14,3926,4,5,4,5,5,0,5,4,4,5,4.238371,0
16,16813,4,3,4,5,5,4,5,2,4,3,3.95489,5
72,9,5,5,5,5,4,0,5,2,4,5,4.682634,5
83,8819,5,5,5,5,5,0,5,0,5,5,4.780921,5
77,3562,4,5,5,4,5,5,5,5,4,5,4.56022,5
36,3499,1,5,5,1,2,5,5,3,5,5,3.948979,4
9,557,5,5,5,4,3,0,4,0,4,4,4.179705,4
11,3855,0,3,5,5,4,2,5,3,0,5,3.169153,5
65,3489,4,5,5,5,3,4,5,3,5,5,4.541006,4
83,9,5,5,5,5,5,0,5,0,5,5,4.780921,5
11,9,4,4,5,5,5,1,5,2,1,5,3.949924,4
61,32,0,3,4,3,0,3,5,0,3,4,3.55086,4
41,3969,5,5,5,5,4,5,5,3,5,3,4.566355,5
50,25367,5,5,5,5,5,5,5,5,5,5,4.612333,5
83,4139,5,5,5,4,5,0,5,0,5,5,4.669266,4
16,1,4,3,3,4,3,4,4,3,5,4,3.814627,3
9,4032,5,4,4,5,3,0,4,2,4,5,3.940502,4
76,8451,5,4,5,4,5,3,5,4,3,4,4.525837,4
93,3855,3,4,5,5,3,0,5,3,4,5,4.344374,4
83,15963,5,5,5,4,5,0,5,0,4,4,4.637038,5
70,3644,3,0,4,4,3,0,4,0,3,0,3.514877,3
15,7918,3,4,3,2,2,1,4,4,2,2,3.642811,3
89,3517,4,4,4,5,5,4,4,4,4,5,4.3096,5
89,3180,5,5,5,5,5,5,5,5,5,5,4.817839,5
89,28,4,4,5,5,5,4,5,5,4,5,4.533824,5
86,24234,3,0,4,5,0,0,5,0,4,0,3.784324,5
73,3180,4,4,4,5,4,0,4,0,4,5,4.137419,4
86,3517,4,2,4,4,0,0,4,0,4,0,3.966363,3
9,3675,4,4,4,4,0,0,5,0,5,4,4.025992,4
81,3855,4,0,5,5,4,4,5,5,4,4,4.029841,4
