@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
86,3855,4,0,4,5,0,0,4,0,4,0,3.125,4
9,26825,4,5,5,4,3,0,4,0,4,4,3.769231,4
70,579,3,4,5,5,4,5,5,0,3,0,3.638889,4
40,151,5,5,5,5,4,5,5,3,5,5,4.8125,5
9,3546,5,4,5,4,5,0,5,0,4,5,4,4
86,3546,1,0,4,3,0,0,4,0,1,0,3.638889,3
9,4014,4,5,5,4,5,0,5,0,4,5,3.769231,4
35,3546,3,3,5,1,2,0,1,0,3,4,3.638889,4
67,151,4,5,5,5,0,0,1,0,0,5,4.9,3
63,3192,5,4,5,5,5,0,5,0,4,5,4,4
9,8267,4,5,5,5,5,0,5,0,5,5,3.769231,5
67,3855,4,3,5,2,0,0,3,0,0,5,3.125,3
9,3855,4,3,4,4,4,0,5,0,5,5,4.068966,4
88,43,4,5,5,4,4,4,5,4,5,4,4,5
83,278,5,5,5,5,5,0,5,0,5,5,4.8125,5
85,3546,3,5,5,5,5,5,5,5,2,1,4,5
72,3975,3,5,5,4,4,0,4,0,0,5,3.769231,4
73,32,4,4,4,4,5,0,5,0,3,5,4,4
77,9,3,4,5,5,4,5,5,3,4,5,3.638889,4
19,3192,4,4,5,5,3,5,5,4,4,5,4.068966,4
85,9,5,4,4,5,5,5,5,4,5,5,4.75,5
89,4696,4,5,4,4,4,4,4,4,4,4,3.769231,5
70,229,2,0,0,3,0,0,2,0,0,0,3.638889,2
89,151,5,5,5,5,5,5,4,4,5,5,4.111111,5
66,165,2,5,5,3,0,0,5,0,3,3,3.666667,5
16,3562,3,3,4,3,4,4,5,0,3,5,3.933333,4
70,7915,5,5,5,5,3,5,5,0,5,0,4.875,5
48,43,3,4,4,4,4,0,4,3,2,4,4.121622,4
16,3607,3,3,3,5,4,3,4,0,2,4,3.411765,3
77,20,3,3,5,4,3,5,5,3,4,5,3.933333,4
25,144,3,0,4,5,4,5,5,2,4,3,3.933333,4
77,6303,4,5,4,5,5,5,5,4,4,5,4.285714,4
14,3926,4,5,4,5,5,0,5,4,4,5,4.285714,0
16,16813,4,3,4,5,5,4,5,2,4,3,3.933333,5
72,9,5,5,5,5,4,0,5,2,4,5,4.942857,5
83,8819,5,5,5,5,5,0,5,0,5,5,4.875,5
77,3562,4,5,5,4,5,5,5,5,4,5,4.942857,5
36,3499,1,5,5,1,2,5,5,3,5,5,3.666667,4
9,557,5,5,5,4,3,0,4,0,4,4,4.111111,4
11,3855,0,3,5,5,4,2,5,3,0,5,2.375,5
65,3489,4,5,5,5,3,4,5,3,5,5,4.942857,4
83,9,5,5,5,5,5,0,5,0,5,5,4.942857,5
11,9,4,4,5,5,5,1,5,2,1,5,4.121622,4
61,32,0,3,4,3,0,3,5,0,3,4,3.933333,4
41,3969,5,5,5,5,4,5,5,3,5,3,4.875,5
50,25367,5,5,5,5,5,5,5,5,5,5,4.875,5
83,4139,5,5,5,4,5,0,5,0,5,5,4.736111,4
16,1,4,3,3,4,3,4,4,3,5,4,3.333333,3
9,4032,5,4,4,5,3,0,4,2,4,5,3.076923,4
76,8451,5,4,5,4,5,3,5,4,3,4,4.265306,4
93,3855,3,4,5,5,3,0,5,3,4,5,4.265306,4
83,15963,5,5,5,4,5,0,5,0,4,4,4.736111,5
70,3644,3,0,4,4,3,0,4,0,3,0,4.037037,3
15,7918,3,4,3,2,2,1,4,4,2,2,3.333333,3
89,3517,4,4,4,5,5,4,4,4,4,5,5,5
89,3180,5,5,5,5,5,5,5,5,5,5,4.736111,5
89,28,4,4,5,5,5,4,5,5,4,5,4.265306,5
86,24234,3,0,4,5,0,0,5,0,4,0,4.037037,5
73,3180,4,4,4,5,4,0,4,0,4,5,4.037037,4
86,3517,4,2,4,4,0,0,4,0,4,0,4.037037,3
9,3675,4,4,4,4,0,0,5,0,5,4,3.076923,4
81,3855,4,0,5,5,4,4,5,5,4,4,4.265306,4
89,10253,4,4,5,5,4,4,4,4,4,4,4.265306,4
83,3670,4,4,5,5,4,0,5,0,4,3,4.265306,4
64,3926,4,4,4,3,4,5,5,2,5,5,4.037037,4
