@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
86,3855,4,0,4,5,0,0,4,0,4,0,3.439828,4
9,26825,4,5,5,4,3,0,4,0,4,4,4.095639,4
70,579,3,4,5,5,4,5,5,0,3,0,4.308588,4
40,151,5,5,5,5,4,5,5,3,5,5,4.892415,5
9,3546,5,4,5,4,5,0,5,0,4,5,4.328518,4
86,3546,1,0,4,3,0,0,4,0,1,0,2.703139,3
9,4014,4,5,5,4,5,0,5,0,4,5,4.375477,4
35,3546,3,3,5,1,2,0,1,0,3,4,2.86571,4
67,151,4,5,5,5,0,0,1,0,0,5,3.477867,3
63,3192,5,4,5,5,5,0,5,0,4,5,4.611063,4
9,8267,4,5,5,5,5,0,5,0,5,5,4.537135,5
67,3855,4,3,5,2,0,0,3,0,0,5,3.411709,3
9,3855,4,3,4,4,4,0,5,0,5,5,3.961593,4
88,43,4,5,5,4,4,4,5,4,5,4,4.817842,5
83,278,5,5,5,5,5,0,5,0,5,5,4.938851,5
85,3546,3,5,5,5,5,5,5,5,2,1,4.351714,5
72,3975,3,5,5,4,4,0,4,0,0,5,3.921517,4
73,32,4,4,4,4,5,0,5,0,3,5,4.1491,4
77,9,3,4,5,5,4,5,5,3,4,5,4.591781,4
19,3192,4,4,5,5,3,5,5,4,4,5,4.465811,4
85,9,5,4,4,5,5,5,5,4,5,5,4.645145,5
89,4696,4,5,4,4,4,4,4,4,4,4,4.247995,5
70,229,2,0,0,3,0,0,2,0,0,0,1.244621,2
89,151,5,5,5,5,5,5,4,4,5,5,4.701048,5
66,165,2,5,5,3,0,0,5,0,3,3,4.323554,5
16,3562,3,3,4,3,4,4,5,0,3,5,3.537568,4
70,7915,5,5,5,5,3,5,5,0,5,0,4.667391,5
48,43,3,4,4,4,4,0,4,3,2,4,3.697039,4
16,3607,3,3,3,5,4,3,4,0,2,4,3.00275,3
77,20,3,3,5,4,3,5,5,3,4,5,4.253875,4
25,144,3,0,4,5,4,5,5,2,4,3,3.341475,4
77,6303,4,5,4,5,5,5,5,4,4,5,4.458887,4
14,3926,4,5,4,5,5,0,5,4,4,5,4.344276,0
16,16813,4,3,4,5,5,4,5,2,4,3,3.74043,5
72,9,5,5,5,5,4,0,5,2,4,5,4.824417,5
83,8819,5,5,5,5,5,0,5,0,5,5,4.803942,5
77,3562,4,5,5,4,5,5,5,5,4,5,4.683699,5
36,3499,1,5,5,1,2,5,5,3,5,5,4.287384,4
9,557,5,5,5,4,3,0,4,0,4,4,4.226743,4
11,3855,0,3,5,5,4,2,5,3,0,5,3.075185,5
65,3489,4,5,5,5,3,4,5,3,5,5,4.754128,4
83,9,5,5,5,5,5,0,5,0,5,5,4.871989,5
11,9,4,4,5,5,5,1,5,2,1,5,3.831775,4
61,32,0,3,4,3,0,3,5,0,3,4,3.532851,4
41,3969,5,5,5,5,4,5,5,3,5,3,4.706115,5
50,25367,5,5,5,5,5,5,5,5,5,5,4.654687,5
83,4139,5,5,5,4,5,0,5,0,5,5,4.856089,4
16,1,4,3,3,4,3,4,4,3,5,4,3.708722,3
9,4032,5,4,4,5,3,0,4,2,4,5,3.979282,4
76,8451,5,4,5,4,5,3,5,4,3,4,4.581312,4
93,3855,3,4,5,5,3,0,5,3,4,5,4.577292,4
83,15963,5,5,5,4,5,0,5,0,4,4,4.675672,5
70,3644,3,0,4,4,3,0,4,0,3,0,3.452867,3
15,7918,3,4,3,2,2,1,4,4,2,2,3.416217,3
89,3517,4,4,4,5,5,4,4,4,4,5,4.156459,5
89,3180,5,5,5,5,5,5,5,5,5,5,5.029528,5
89,28,4,4,5,5,5,4,5,5,4,5,4.698016,5
86,24234,3,0,4,5,0,0,5,0,4,0,3.82843,5
73,3180,4,4,4,5,4,0,4,0,4,5,4.015651,4
86,3517,4,2,4,4,0,0,4,0,4,0,4.078175,3
9,3675,4,4,4,4,0,0,5,0,5,4,4.249147,4
81,3855,4,0,5,5,4,4,5,5,4,4,4.209287,4
89,10253,4,4,5,5,4,4,4,4,4,4,4.357498,4
83,3670,4,4,5,5,4,0,5,0,4,3,4.599015,4
64,3926,4,4,4,3,4,5,5,2,5,5,4.335577,4
84,9,5,5,5,5,5,5,5,5,5,5,5.034736,5
9,55,5,5,5,5,5,5,5,0,5,5,4.521259,5
83,3141,4,5,5,4,5,0,5,0,4,5,4.611752,5
59,12740,4,4,5,4,5,0,4,0,4,3,4.112826,4
16,16466,5,3,5,5,0,5,5,0,5,5,4.639195,4
70,3547,0,0,0,0,0,0,0,0,0,0,0.23147,4
89,9,5,5,5,5,5,5,5,5,5,5,5.016371,5
89,10026,5,4,5,5,5,5,5,5,5,5,4.839688,5
66,3855,3,3,5,3,0,0,5,0,3,3,4.065296,5
85,151,4,4,5,5,0,5,5,4,5,5,4.898548,5
9,3564,4,4,4,5,4,0,5,0,3,4,4.019102,4
9,6303,5,4,5,5,3,0,4,0,3,4,4.033208,4
9,43,4,4,5,3,3,0,4,0,4,4,3.857298,4
89,29,5,4,5,5,4,4,5,4,4,4,4.762043,4
14,3855,0,3,5,4,5,0,5,5,4,5,3.611238,0
89,26825,4,5,5,5,4,4,5,4,4,5,4.774254,5
16,278,3,5,5,4,3,4,5,3,3,5,4.350534,5
73,3562,3,4,4,4,5,0,5,0,3,5,4.060471,4
65,43,4,5,5,5,4,4,4,3,3,3,4.353897,4
87,3517,5,0,4,5,3,0,4,0,5,3,3.673576,4
9,32,0,0,0,0,0,0,0,0,0,0,0.0217,1
67,3926,1,5,5,3,0,0,5,0,0,4,3.940269,3
9,588,5,4,5,5,3,0,4,0,4,4,4.138771,4
25,278,4,5,5,4,5,5,5,3,4,4,4.535352,5
83,3517,4,4,5,5,5,0,5,4,5,4,4.556569,5
83,3546,3,5,4,5,5,0,4,0,4,3,4.098351,4
70,116,5,5,5,5,3,5,5,0,5,0,4.845067,5
21,3489,4,4,4,5,4,4,5,4,5,4,4.315278,4
71,4014,5,5,5,5,4,5,5,4,4,5,4.835752,5
33,3265,5,5,5,5,0,0,3,0,5,5,4.227753,5
75,43,4,4,4,3,3,4,4,3,3,4,3.889403,4
75,3855,4,4,5,5,3,4,5,4,4,5,4.680691,4
9,151,4,5,4,5,0,0,5,0,5,5,4.396156,5
77,1,5,4,5,4,5,5,5,5,4,5,4.681336,5
85,3517,3,4,5,5,0,1,5,5,5,5,4.838258,4
75,9,5,4,4,5,4,5,4,3,5,5,4.343649,4
86,278,4,0,5,4,0,0,5,0,3,0,4.073512,5
69,3926,3,5,5,5,4,4,5,4,3,4,4.527617,4
9,4139,5,3,5,5,5,0,5,0,5,5,4.35856,4
87,3855,2,3,4,5,0,0,4,0,3,4,3.813297,3
83,7915,5,5,5,5,5,5,5,5,5,5,4.983024,5
73,3499,3,4,5,4,5,0,5,0,3,4,4.245106,4
77,55,4,3,4,4,5,5,5,5,4,4,4.261988,4
73,3192,4,3,4,4,4,0,5,0,3,5,4.051565,4
15,3546,3,5,5,4,5,1,5,5,3,5,4.226013,5
79,3855,4,4,5,5,4,5,5,4,4,4,4.664606,4
15,9,5,3,5,5,3,1,5,4,1,5,4.102026,4
9,27,5,4,5,5,5,0,5,0,4,5,4.36558,4
9,4456,1,2,3,2,1,0,2,0,1,2,2.208884,2
